ANO_REFERENCIA;UF_ESCOLA;MUNICIPIO_ESCOLA;ESFERA_GOVERNO;LOCALIZACAO_ESCOLA;INEP_ESCOLA;NOME_ESCOLA;ALUNADO;TOTAL_RECEBIDO_ADESAO
2017;AL;Maceió;Municipal;Urbana;27240606;ESCOLA MUNICIPAL AUDIVAL AMELIO DA SILVA;151;R$32.505,00
2017;AL;Maceió;Municipal;Urbana;27222373;ESCOLA DE ENSINO FUNDAMENTAL NOSSO LAR I;405;R$47.709,00
2017;AL;Maceió;Municipal;Rural;27216489;ESCOLA MUNICIPAL PROFESSORA NEIDE FREITAS FRANCA;100;R$16.452,00
2017;AL;Maceió;Municipal;Urbana;27226417;ESCOLA MUNICIPAL MARIA JOSE CARRASCOSA;158;R$32.595,00
2017;AL;Maceió;Municipal;Urbana;27230570;ESCOLA MUNICIPAL PEDRO BARBOSA JUNIOR;177;R$22.329,00
2017;AL;Maceió;Municipal;Urbana;27227090;ESCOLA MUNICIPAL PADRE BRANDAO LIMA;100;R$18.780,00
2017;AL;Major Isidoro;Municipal;Rural;27010538;ESCOLA MUNICIPAL VEREADOR EDERLINDO RODRIGUES TENORIO;100;R$27.420,00
2017;AL;Maragogi;Municipal;Urbana;27032590;ESCOLA MUNICIPAL DE EDUCACAO BASICA ESPERIDIAO FRANCISCO NOGUEIRA;100;R$18.780,00
2017;AL;Maragogi;Municipal;Urbana;27032655;ESCOLA MUNICIPAL DE EDUCACAO BASICA ARLINDO ESTANISLAU DA SILVA;100;R$18.780,00
2017;AL;Maragogi;Municipal;Urbana;27032515;ESCOLA MUNICIPAL DE EDUCACAO BASICA AYRES PEREIRA DA COSTA;100;R$18.780,00
2017;AL;Maragogi;Municipal;Urbana;27032892;ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL DE MEDEIROS COSTA;150;R$28.125,00
2017;AL;Maragogi;Municipal;Urbana;27032540;ESCOLA MUNICIPAL DE EDUCACAO BASICA DR JOSE JORGE DE FARIAS SALES;200;R$37.500,00
2017;AL;Maravilha;Municipal;Rural;27005143;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO LEMOS RIBEIRO;200;R$54.840,00
2017;AL;Maravilha;Municipal;Rural;27005194;ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL SERAFIM BARBOSA;50;R$13.620,00
2017;AL;Maravilha;Municipal;Urbana;27005070;ESCOLA MUNICIPAL DE EDUCACAO BASICA SAGRADA FAMILIA;280;R$56.040,00
2017;AL;Maravilha;Municipal;Rural;27005305;ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAQUIM MARQUES;40;R$13.560,00
2017;AL;Marechal Deodoro;Municipal;Rural;27039161;ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO;101;R$33.915,00
2017;AL;Marechal Deodoro;Municipal;Urbana;27039102;ESCOLA DE 1º E 2º GRAUS PROFª Mª PETRONILA DE GOUVEIA;101;R$23.115,00
2017;AL;Marechal Deodoro;Municipal;Urbana;27039480;ESCOLA MUNICIPAL PROFESSORA ELEUZA GALVAO RODAS;201;R$37.560,00
2017;AL;Marechal Deodoro;Municipal;Urbana;27225550;ESCOLA MUNICIPAL DR JOVINIANO DE ALMEIDA RODAS;151;R$28.140,00
2017;AL;Marechal Deodoro;Municipal;Urbana;27039404;ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS;101;R$18.750,00
2017;AL;Marechal Deodoro;Municipal;Urbana;27039331;ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO;101;R$18.735,00
2017;AL;Marechal Deodoro;Municipal;Rural;27039153;ESCOLA DE 1º GRAU JOSE BISPO DA SILVA;101;R$33.915,00
2017;AL;Maribondo;Municipal;Urbana;27013375;ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO BONFIM;200;R$28.125,00
2017;AL;Maribondo;Municipal;Rural;27013413;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFª EURIDES COSTA;67;R$20.430,00
2017;AL;Maribondo;Municipal;Urbana;27013391;ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I;178;R$32.820,00
2017;AL;Matriz de Camaragibe;Municipal;Urbana;27224368;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ANTONIO DE CASTRO BARBOSA;100;R$18.780,00
2017;AL;Matriz de Camaragibe;Municipal;Urbana;27029484;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MUNIZ FALCAO;100;R$18.780,00
2017;AL;Matriz de Camaragibe;Municipal;Urbana;27218082;ESCOLA MUNICIPAL SENADOR ARNON DE MELO;100;R$18.780,00
2017;AL;Olho d'Água das Flores;Municipal;Rural;27011135;ESCOLA MUNICIPAL LUIZ JOSE GREGORIO;25;R$6.855,00
2017;AL;Olho d'Água das Flores;Municipal;Rural;27010902;ESCOLA MUNICIPAL DE EDUCACAO BASICA PONCIANO MACHADO VILAR;100;R$27.420,00
2017;AL;Olho d'Água das Flores;Municipal;Urbana;27011089;ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR IZIDRO PEREIRA FILHO;60;R$13.845,00
2017;AL;Olho d'Água das Flores;Municipal;Urbana;27011143;ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL MELO ABREU;40;R$9.210,00
2017;AL;Olho d'Água Grande;Municipal;Rural;27214702;ESC MUN ANDRE LIMA;60;R$13.455,00
2017;AL;Olho d'Água Grande;Municipal;Rural;27021300;ESC MUN EUNICE DOLORES BRITO;89;R$20.235,00
2017;AL;Olho d'Água Grande;Municipal;Urbana;27221156;ESC MUN FRANCISCO BEZERRA DE ARAUJO;150;R$27.960,00
2017;AL;Olivença;Municipal;Urbana;27219569;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NOSSA SENHORA DO CARMO;150;R$28.095,00
2017;AL;Olivença;Municipal;Rural;27011631;ESCOLA MUNICIPAL PROFESSOR DIVALDO SURUAGY;80;R$27.120,00
2017;AL;Palmeira dos Índios;Municipal;Rural;27014517;ESCOLA MUNICIPAL PRFª MARY SAMPAIO CAPARICA;100;R$27.420,00
2017;AL;Palmeira dos Índios;Municipal;Rural;27014738;ESCOLA MUNICIPAL BELARMINO TEXEIRA CAVALCANTE;120;R$34.200,00
2017;AL;Pão de Açúcar;Municipal;Rural;27006492;UNIDADE MUNICIPAL ENS JULIO DAMASCENO RIBEIRO;50;R$13.590,00
2017;AL;Paripueira;Municipal;Urbana;27039579;ESCOLA M DE ENSINO FUNDAMENTAL ALFREDO LEANDRO NETO;100;R$11.268,00
2017;AL;Paripueira;Municipal;Urbana;27216969;ESCOLA MUL DE ENS FUND DR PEDRO ADOLPHO MARTINS REYS;100;R$18.630,00
2017;AL;Passo de Camaragibe;Municipal;Urbana;27032990;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ERNESTO GOMES MARANHAO;775;R$145.500,00
2017;AL;Passo de Camaragibe;Municipal;Rural;27033139;ESCOLA MUNICIPAL NOSSA SENHORA DAS CANDEIAS;250;R$68.505,00
2017;AL;Paulo Jacinto;Municipal;Urbana;27015262;ESCOLA MUNICIPAL 2 DE DEZEMBRO;120;R$23.400,00
2017;AL;Penedo;Municipal;Urbana;27045226;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFº DOUGLAS APRATTO TENORIO;120;R$23.400,00
2017;AL;Penedo;Municipal;Rural;27230333;ESCOLA MUNICIPAL DE EDUCACAO BASICA ALDA ALVES TOLEDO;50;R$13.710,00
2017;AL;Penedo;Municipal;Urbana;27045609;ESCOLA MUNICIPAL DE EDUCACAO BASICA BARAO DE PENEDO;100;R$18.780,00
2017;AL;Penedo;Municipal;Rural;27045480;ESCOLA MUNICIPAL DE EDUCACAO BASICA CONEGO TEOTONIO RIBEIRO;90;R$27.255,00
2017;AL;Penedo;Municipal;Rural;27045463;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA MARIA DA GLORIA PIMENTEIRA;80;R$20.475,00
2017;AL;Penedo;Municipal;Urbana;27217272;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA MARIA DA GLORIA TAVARES;55;R$13.785,00
2017;AL;Penedo;Municipal;Rural;27217345;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROF ARLINDO FERREIRA DE MORAES;80;R$27.120,00
2017;AL;Penedo;Municipal;Rural;27045323;ESCOLA MUNICIPAL DE EDUCACAO BASICA PAULO VI;60;R$20.295,00
2017;AL;Penedo;Municipal;Rural;27042618;ESCOLA MUNICIPAL DE EDUCACAO BASICA HANNA BERTHOLET;150;R$41.115,00
2017;AL;Piaçabuçu;Municipal;Rural;27045846;GRUPO ESCOLAR MUL SERAPIAO WALTER DOS SANTOS;51;R$13.665,00
2017;AL;Piaçabuçu;Municipal;Urbana;27045889;GRUPO ESCOLAR MUNICIPAL DR MOACIR LOPES ANDRADE;100;R$18.480,00
2017;AL;Pilar;Municipal;Urbana;27040054;E M E B PROFESSORA JACY DA COSTA AYRES;120;R$23.340,00
2017;AL;Pilar;Municipal;Urbana;27226018;E M E B EMBAIXADOR RENATO DE MENDONCA;105;R$6.925,00
2017;AL;Pilar;Municipal;Urbana;27225577;E M E B PROFESSOR ARTHUR RAMOS;151;R$23.190,00
2017;AL;Pilar;Municipal;Urbana;27040020;E M E B JOSE GONCALVES LAGES;30;R$5.454,00
2017;AL;Pilar;Municipal;Urbana;27039927;E M E B DEPUTADO OSEAS CARDOSO;30;R$9.090,00
2017;AL;Pilar;Municipal;Rural;27039986;E M E B PRESIDENTE EMILIO G MEDICI;40;R$13.560,00
2017;AL;Piranhas;Municipal;Urbana;27222217;ESCOLA PROFª SONIA MARIA BRITO RODRIGUES;60;R$8.316,00
2017;AL;Poço das Trincheiras;Municipal;Rural;27006794;ESCOLA MUNICIPAL DE ENS FUND LEOPOLDO WANDERLEY;40;R$4.040,00
2017;AL;Poço das Trincheiras;Municipal;Rural;27006832;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ALEXANDRE FERNANDES;60;R$6.060,00
2017;AL;Poço das Trincheiras;Municipal;Urbana;27218716;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSOR TOBIAS MEDEIROS;100;R$5.620,00
2017;AL;Poço das Trincheiras;Municipal;Rural;27006972;ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO JANUARIO DE MELO;60;R$6.060,00
2017;AL;Poço das Trincheiras;Municipal;Rural;27006999;ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO JOAQUIM;60;R$6.025,00
2017;AL;Poço das Trincheiras;Municipal;Rural;27007022;ESCOLA MUNICIPAL MUNIZ FALCAO;60;R$6.060,00
2017;AL;Porto Calvo;Municipal;Rural;27221725;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NIVALDO NUNES DE MOURA E ANEXOS;120;R$34.200,00
2017;AL;Porto Calvo;Municipal;Rural;27221750;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DE CANAAN;120;R$34.200,00
2017;AL;Porto Calvo;Municipal;Rural;27031640;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NOSSA SENHORA DA CONCEICAO E ANEXOS;150;R$41.130,00
2017;AL;Porto Real do Colégio;Municipal;Rural;27046087;ESCOLA MUNICIPAL DE EDUCACAO BASICA DR JAIME LUSTOSA DE ALTAVILA;71;R$20.370,00
2017;AL;Porto Real do Colégio;Municipal;Rural;27045994;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFª ANTONIA ROSA;164;R$47.700,00
2017;AL;Porto Real do Colégio;Municipal;Urbana;27045986;CENTRO EDUC PROF ERNANDE F MAGALHAES;1252;R$211.125,00
2017;AL;Rio Largo;Municipal;Urbana;27040739;EMEB DALMARIO SOUZA;80;R$18.465,00
2017;AL;Rio Largo;Municipal;Urbana;27040500;ESCOLA DE ENSINO FUND DR GASTAO OITICICA;80;R$11.088,00
2017;AL;Rio Largo;Municipal;Rural;27040313;EMEF MARIETA LEAO;100;R$16.452,00
2017;AL;Roteiro;Municipal;Urbana;27043452;ESCOLA FRANCISCO SEBASTIAO S PALMEIRA;150;R$28.170,00
2017;AL;Santa Luzia do Norte;Municipal;Urbana;27040968;ESCOLA MUNICIPAL PROFª IOLANDA ROMEIRO LOPES;179;R$22.347,00
2017;AL;Santana do Ipanema;Municipal;Rural;27007537;ESCOLA MUNICIPAL DE EDUCACAO BASICA CLEODON TEODOSIO;100;R$27.390,00
2017;AL;Santana do Ipanema;Municipal;Rural;27007529;ESCOLA MUNICIPAL DE EDUCACAO BASICA BENEDITO DE MELO;50;R$13.710,00
2017;AL;Santana do Ipanema;Municipal;Rural;27214290;ESCOLA MUNICIPAL DE EDUCACAO BASICA SENADOR ARNON DE MELO;40;R$13.560,00
2017;AL;Santana do Ipanema;Municipal;Urbana;27214516;ESCOLA MUNICIPAL DE EDUCACAO BASICA SANTA SOFIA;100;R$18.765,00
2017;AL;Santana do Ipanema;Municipal;Urbana;27353010;ESCOLA MUNICIPAL DE EDUCACAO BASICA IRACEMA SALGUEIRO SILVA;50;R$9.345,00
2017;AL;Santana do Ipanema;Municipal;Rural;27007375;ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFª SONIA PEREIRA DA SILVA;100;R$27.420,00
2017;AL;Santana do Ipanema;Municipal;Urbana;27007758;ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE FRANCISCO DE ANDRADE;100;R$18.780,00
2017;AL;Santana do Ipanema;Municipal;Rural;27007936;ESCOLA MUNICPAL DE EDUCACAO BASICA MARIA NEPOMUCENO MARQUES;100;R$27.420,00
2017;AL;Santana do Ipanema;Municipal;Rural;27007472;ESCOLA MUNICIPAL DE EDUCACAO BASICA ISMAEL FERNANDES DE OLIVEIRA;75;R$12.339,00
2017;AL;Santana do Ipanema;Municipal;Rural;27007103;ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR JOAO FRANCISCO CAVALCANTE;100;R$27.420,00
2017;AL;Santana do Ipanema;Municipal;Urbana;27007405;ESCOLA MUNICIPAL DE EDUCACAO BASICA SENHORA SANTANA;60;R$8.316,00
2017;AL;Santana do Ipanema;Municipal;Urbana;27007383;ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO CRISTOVAO;50;R$9.390,00
2017;AL;São José da Tapera;Municipal;Rural;27008410;EMEIF VEREADOR JOSE DOMINGOS DE BARROS;100;R$27.420,00
2017;AL;São José da Tapera;Municipal;Urbana;27241408;EMEIF ELISABETH JACOBA MARIA BOGERS;90;R$18.615,00
2017;AL;São José da Tapera;Municipal;Rural;27008665;EMEIF ANTONIO AGOSTINHO DOS ANJOS;90;R$27.270,00
2017;AL;São José da Tapera;Municipal;Rural;27008274;EMEIF MANOEL BEZERRA LINTO;40;R$13.560,00
2017;AL;São José da Tapera;Municipal;Urbana;27220338;EMEIF AUDALIO MACIANO DA SILVA;91;R$18.570,00
2017;AL;São José da Tapera;Municipal;Rural;27008290;EMEIF POSSIDONIO GADI;100;R$27.420,00
2017;AL;São José da Tapera;Municipal;Rural;27008657;EMEIF PEDRO FRANCISCO DAS CHAGAS;69;R$20.475,00
2017;AL;São José da Tapera;Municipal;Rural;27008185;EMEIF SANTA ANA;100;R$27.420,00
2017;AL;São Luís do Quitunde;Municipal;Urbana;27032094;ESCOLA MUNICIPAL DEMOCRITO SARMENTO;150;R$28.170,00
